12/03/2024 13:36:14:038  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
12/03/2024 13:36:14:100  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
12/03/2024 13:36:14:161  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
12/03/2024 13:36:14:223  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
12/03/2024 13:36:14:286  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
12/03/2024 13:36:14:347  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
12/03/2024 13:36:14:410  INFO - Node Entry | session id:sess9367543 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
12/03/2024 13:36:14:410  INFO - Application Exit | session id:sess9367543 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
12/03/2024 13:37:11:349  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
12/03/2024 13:37:11:452  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
12/03/2024 13:37:11:547  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
12/03/2024 13:37:11:609  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
12/03/2024 13:37:11:671  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
12/03/2024 13:37:11:734  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
12/03/2024 13:37:11:795  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
12/03/2024 13:37:11:857  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
12/03/2024 13:37:11:919  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
12/03/2024 13:37:11:981  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
12/03/2024 13:37:12:043  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
12/03/2024 13:37:12:105  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
12/03/2024 13:37:12:168  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
12/03/2024 13:37:12:230  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
12/03/2024 13:37:12:291  INFO - Node Entry | session id:sess5511604 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
12/03/2024 13:37:12:292  INFO - Application Exit | session id:sess5511604 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
12/03/2024 13:37:45:690  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
12/03/2024 13:37:45:769  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
12/03/2024 13:37:45:863  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
12/03/2024 13:37:45:925  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
12/03/2024 13:37:45:987  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
12/03/2024 13:37:46:049  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
12/03/2024 13:37:46:111  INFO - Node Entry | session id:sess6232314 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
