02/01/2024 08:16:29:164  INFO - Node Entry | session id:sess4817372 | QatarIVR:Start | Framework | Start |  |  | 
02/01/2024 08:16:29:362  INFO - Node Entry | session id:sess4817372 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
02/01/2024 08:16:30:394  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:30:448  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:30:504  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:30:564  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:30:615  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:30:668  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:30:723  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:30:774  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:34:110  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:34:165  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:34:218  INFO - Node Entry | session id:sess4817372 | QatarIVR:PreAnnouncement | Framework | PreAnnouncement |  |  | undefined
02/01/2024 08:16:34:284  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicAnnouncement | Framework | DynamicAnnouncement |  |  | undefined
02/01/2024 08:16:37:306  INFO - Node Entry | session id:sess4817372 | QatarIVR:PostAnnouncement | Framework | PostAnnouncement |  |  | undefined
02/01/2024 08:16:37:356  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:37:406  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:37:458  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:37:527  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:37:579  INFO - Node Entry | session id:sess4817372 | QatarIVR:PreAnnouncement | Framework | PreAnnouncement |  |  | undefined
02/01/2024 08:16:37:629  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicAnnouncement | Framework | DynamicAnnouncement |  |  | undefined
02/01/2024 08:16:37:711  INFO - Node Entry | session id:sess4817372 | QatarIVR:PostAnnouncement | Framework | PostAnnouncement |  |  | undefined
02/01/2024 08:16:37:760  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:37:810  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:37:862  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:37:915  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:37:965  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:38:016  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:38:081  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:38:132  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:38:183  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:38:236  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:38:287  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:38:338  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:38:404  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:38:464  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:38:524  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:38:600  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:38:660  INFO - Node Entry | session id:sess4817372 | QatarIVR:PreMenu | Framework | PreMenu |  |  | undefined
02/01/2024 08:16:38:720  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicMenu | Framework | DynamicMenu |  |  | undefined
02/01/2024 08:16:41:644  INFO - Node Entry | session id:sess4817372 | QatarIVR:PostMenu | Framework | PostMenu | DynamicMenu___utterance | 1^0.949999988079071^0^0 | undefined
02/01/2024 08:16:41:695  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:41:747  INFO - Node Entry | session id:sess4817372 | QatarIVR:PrePC | Framework | PrePC |  |  | undefined
02/01/2024 08:16:41:798  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicPC | Framework | DynamicPC |  |  | undefined
02/01/2024 08:16:49:677  INFO - Node Entry | session id:sess4817372 | QatarIVR:RestrictCarryForwardDTMF | Framework | RestrictCarryForwardDTMF | DynamicPC___utterance | 666777888^0.949999988079071^0^0 | undefined
02/01/2024 08:16:49:736  INFO - Node Entry | session id:sess4817372 | QatarIVR:PostPC | Framework | PostPC |  |  | undefined
02/01/2024 08:16:49:786  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:49:835  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:50:228  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:50:281  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:50:332  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
02/01/2024 08:16:50:382  INFO - Node Entry | session id:sess4817372 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
02/01/2024 08:16:50:437  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
02/01/2024 08:16:50:486  INFO - Node Entry | session id:sess4817372 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
