01/01/2024 20:03:13:924  INFO - Node Entry | session id:sess4067013 | QatarIVR:Start | Framework | Start |  |  | 
01/01/2024 20:03:14:621  INFO - Node Entry | session id:sess4067013 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
01/01/2024 20:03:16:052  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:16:113  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
01/01/2024 20:03:16:192  INFO - Node Entry | session id:sess4067013 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
01/01/2024 20:03:16:255  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:16:317  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
01/01/2024 20:03:16:378  INFO - Node Entry | session id:sess4067013 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
01/01/2024 20:03:16:441  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:16:503  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
01/01/2024 20:03:19:868  INFO - Node Entry | session id:sess4067013 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
01/01/2024 20:03:19:946  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:20:009  INFO - Node Entry | session id:sess4067013 | QatarIVR:PreAnnouncement | Framework | PreAnnouncement |  |  | undefined
01/01/2024 20:03:20:072  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicAnnouncement | Framework | DynamicAnnouncement |  |  | undefined
01/01/2024 20:03:22:757  INFO - Node Entry | session id:sess4067013 | QatarIVR:PostAnnouncement | Framework | PostAnnouncement |  |  | undefined
01/01/2024 20:03:22:810  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:22:861  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
01/01/2024 20:03:22:915  INFO - Node Entry | session id:sess4067013 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
01/01/2024 20:03:22:974  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:23:025  INFO - Node Entry | session id:sess4067013 | QatarIVR:PreAnnouncement | Framework | PreAnnouncement |  |  | undefined
01/01/2024 20:03:23:075  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicAnnouncement | Framework | DynamicAnnouncement |  |  | undefined
01/01/2024 20:03:23:155  INFO - Node Entry | session id:sess4067013 | QatarIVR:PostAnnouncement | Framework | PostAnnouncement |  |  | undefined
01/01/2024 20:03:23:207  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:23:259  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
01/01/2024 20:03:23:315  INFO - Node Entry | session id:sess4067013 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
01/01/2024 20:03:23:371  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
01/01/2024 20:03:23:424  INFO - Node Entry | session id:sess4067013 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
