07/02/2024 08:39:23:731  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:39:23:783  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:39:23:840  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:39:23:952  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:39:24:005  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:39:24:064  INFO - Node Entry | session id:sess4099540 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:39:24:065  INFO - Application Exit | session id:sess4099540 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:39:44:571  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 08:39:44:641  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:39:45:187  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:39:45:238  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:39:45:289  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:39:45:345  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:39:45:396  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:39:45:448  INFO - Node Entry | session id:sess9044889 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
