26/12/2023 15:08:22:297  INFO - Node Entry | session id:sess4155390 | QatarIVR:Start | Framework | Start |  |  | 
26/12/2023 15:08:22:504  INFO - Node Entry | session id:sess4155390 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
26/12/2023 15:08:23:643  INFO - Node Entry | session id:sess4155390 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:08:23:706  INFO - Node Entry | session id:sess4155390 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
26/12/2023 15:08:23:768  INFO - Node Entry | session id:sess4155390 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
26/12/2023 15:08:23:830  INFO - Node Entry | session id:sess4155390 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:08:23:910  INFO - Node Entry | session id:sess4155390 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
26/12/2023 15:08:23:973  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-Begin | Framework | preEnroll-Begin |  |  | undefined
26/12/2023 15:08:24:036  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-preProcess | Framework | preEnroll-preProcess |  |  | undefined
26/12/2023 15:08:24:100  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-preAnnouncement | Framework | preEnroll-preAnnouncement |  |  | undefined
26/12/2023 15:08:24:210  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-enrollmenu | Framework | preEnroll-enrollmenu |  |  | undefined
26/12/2023 15:08:38:223  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-Enroll | Framework | preEnroll-Enroll | enrollmenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:08:38:276  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
26/12/2023 15:08:38:329  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
26/12/2023 15:08:38:382  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
26/12/2023 15:08:38:450  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
26/12/2023 15:08:43:830  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-CONSENTUPDATEIVRDB | Framework | Enrollment-CONSENTUPDATEIVRDB | consentMenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:08:43:881  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-startsession | Framework | Enrollment-startsession |  |  | undefined
26/12/2023 15:08:43:933  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-deletespeakerid | Framework | Enrollment-deletespeakerid |  |  | undefined
26/12/2023 15:08:43:985  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-deletevoiceprint | Framework | Enrollment-deletevoiceprint |  |  | undefined
26/12/2023 15:08:44:038  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-preenrollannouncement | Framework | Enrollment-preenrollannouncement |  |  | undefined
26/12/2023 15:08:44:114  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-enroll1 | Framework | Enrollment-enroll1 |  |  | undefined
26/12/2023 15:08:44:179  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-enrollVoicePc | Framework | Enrollment-enrollVoicePc |  |  | undefined
26/12/2023 15:09:03:045  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-enrollVB_1 | Framework | Enrollment-enrollVB_1 |  |  | undefined
26/12/2023 15:09:03:388  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-UPDATE_QR_FAILURE | Framework | Enrollment-UPDATE_QR_FAILURE |  |  | undefined
26/12/2023 15:09:03:452  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-setting_transfer_attributes | Framework | Enrollment-setting_transfer_attributes |  |  | undefined
26/12/2023 15:09:03:515  INFO - Node Entry | session id:sess4155390 | QatarIVR:Enrollment-Transfer | Framework | Enrollment-Transfer |  |  | undefined
26/12/2023 15:09:03:579  INFO - Node Entry | session id:sess4155390 | QatarIVR:preEnroll-transfer | Framework | preEnroll-transfer |  |  | undefined
26/12/2023 15:09:03:642  INFO - Node Entry | session id:sess4155390 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:09:03:705  INFO - Node Entry | session id:sess4155390 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
26/12/2023 15:09:03:768  INFO - Node Entry | session id:sess4155390 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
26/12/2023 15:09:03:846  INFO - Node Entry | session id:sess4155390 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
26/12/2023 15:09:03:909  INFO - Node Entry | session id:sess4155390 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
26/12/2023 15:09:03:988  INFO - Node Entry | session id:sess4155390 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
26/12/2023 15:09:03:993  INFO - Application Exit | session id:sess4155390 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
26/12/2023 15:27:02:858  INFO - Node Entry | session id:sess6241374 | QatarIVR:Start | Framework | Start |  |  | 
26/12/2023 15:27:02:936  INFO - Node Entry | session id:sess6241374 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
26/12/2023 15:27:03:228  INFO - Node Entry | session id:sess6241374 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:27:03:280  INFO - Node Entry | session id:sess6241374 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
26/12/2023 15:27:03:334  INFO - Node Entry | session id:sess6241374 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
26/12/2023 15:27:03:392  INFO - Node Entry | session id:sess6241374 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:27:03:443  INFO - Node Entry | session id:sess6241374 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
26/12/2023 15:27:03:494  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-Begin | Framework | preEnroll-Begin |  |  | undefined
26/12/2023 15:27:03:547  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-preProcess | Framework | preEnroll-preProcess |  |  | undefined
26/12/2023 15:27:03:607  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-preAnnouncement | Framework | preEnroll-preAnnouncement |  |  | undefined
26/12/2023 15:27:03:691  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-enrollmenu | Framework | preEnroll-enrollmenu |  |  | undefined
26/12/2023 15:27:07:419  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-Enroll | Framework | preEnroll-Enroll | enrollmenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:27:07:470  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
26/12/2023 15:27:07:522  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
26/12/2023 15:27:07:575  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
26/12/2023 15:27:07:639  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
26/12/2023 15:27:11:329  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-CONSENTUPDATEIVRDB | Framework | Enrollment-CONSENTUPDATEIVRDB | consentMenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:27:11:382  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-startsession | Framework | Enrollment-startsession |  |  | undefined
26/12/2023 15:27:11:435  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-deletespeakerid | Framework | Enrollment-deletespeakerid |  |  | undefined
26/12/2023 15:27:11:488  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-deletevoiceprint | Framework | Enrollment-deletevoiceprint |  |  | undefined
26/12/2023 15:27:11:540  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-preenrollannouncement | Framework | Enrollment-preenrollannouncement |  |  | undefined
26/12/2023 15:27:11:601  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-enroll1 | Framework | Enrollment-enroll1 |  |  | undefined
26/12/2023 15:27:11:658  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-enrollVoicePc | Framework | Enrollment-enrollVoicePc |  |  | undefined
26/12/2023 15:27:28:229  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-enrollVB_1 | Framework | Enrollment-enrollVB_1 |  |  | undefined
26/12/2023 15:27:28:319  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-UPDATE_QR_FAILURE | Framework | Enrollment-UPDATE_QR_FAILURE |  |  | undefined
26/12/2023 15:27:28:381  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-setting_transfer_attributes | Framework | Enrollment-setting_transfer_attributes |  |  | undefined
26/12/2023 15:27:28:443  INFO - Node Entry | session id:sess6241374 | QatarIVR:Enrollment-Transfer | Framework | Enrollment-Transfer |  |  | undefined
26/12/2023 15:27:28:506  INFO - Node Entry | session id:sess6241374 | QatarIVR:preEnroll-transfer | Framework | preEnroll-transfer |  |  | undefined
26/12/2023 15:27:28:568  INFO - Node Entry | session id:sess6241374 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:27:28:631  INFO - Node Entry | session id:sess6241374 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
26/12/2023 15:27:28:692  INFO - Node Entry | session id:sess6241374 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
26/12/2023 15:27:28:755  INFO - Node Entry | session id:sess6241374 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
26/12/2023 15:27:28:817  INFO - Node Entry | session id:sess6241374 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
26/12/2023 15:27:28:895  INFO - Node Entry | session id:sess6241374 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
26/12/2023 15:27:28:897  INFO - Application Exit | session id:sess6241374 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
26/12/2023 15:31:19:376  INFO - Node Entry | session id:sess5029326 | QatarIVR:Start | Framework | Start |  |  | 
26/12/2023 15:31:19:534  INFO - Node Entry | session id:sess5029326 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
26/12/2023 15:31:19:923  INFO - Node Entry | session id:sess5029326 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:31:19:979  INFO - Node Entry | session id:sess5029326 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
26/12/2023 15:31:20:035  INFO - Node Entry | session id:sess5029326 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
26/12/2023 15:31:20:096  INFO - Node Entry | session id:sess5029326 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:31:20:149  INFO - Node Entry | session id:sess5029326 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
26/12/2023 15:31:20:204  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-Begin | Framework | preEnroll-Begin |  |  | undefined
26/12/2023 15:31:20:259  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-preProcess | Framework | preEnroll-preProcess |  |  | undefined
26/12/2023 15:31:20:320  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-preAnnouncement | Framework | preEnroll-preAnnouncement |  |  | undefined
26/12/2023 15:31:20:401  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-enrollmenu | Framework | preEnroll-enrollmenu |  |  | undefined
26/12/2023 15:31:24:156  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-Enroll | Framework | preEnroll-Enroll | enrollmenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:31:24:208  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
26/12/2023 15:31:24:260  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
26/12/2023 15:31:24:314  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
26/12/2023 15:31:24:383  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
26/12/2023 15:31:28:099  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-CONSENTUPDATEIVRDB | Framework | Enrollment-CONSENTUPDATEIVRDB | consentMenu___utterance | 1^0.949999988079071^0^0 | undefined
26/12/2023 15:31:28:152  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-startsession | Framework | Enrollment-startsession |  |  | undefined
26/12/2023 15:31:28:203  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-deletespeakerid | Framework | Enrollment-deletespeakerid |  |  | undefined
26/12/2023 15:31:28:257  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-deletevoiceprint | Framework | Enrollment-deletevoiceprint |  |  | undefined
26/12/2023 15:31:28:309  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-preenrollannouncement | Framework | Enrollment-preenrollannouncement |  |  | undefined
26/12/2023 15:31:28:374  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-enroll1 | Framework | Enrollment-enroll1 |  |  | undefined
26/12/2023 15:31:28:450  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-enrollVoicePc | Framework | Enrollment-enrollVoicePc |  |  | undefined
26/12/2023 15:31:45:016  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-enrollVB_1 | Framework | Enrollment-enrollVB_1 |  |  | undefined
26/12/2023 15:31:45:362  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-UPDATE_QR_FAILURE | Framework | Enrollment-UPDATE_QR_FAILURE |  |  | undefined
26/12/2023 15:31:45:425  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-setting_transfer_attributes | Framework | Enrollment-setting_transfer_attributes |  |  | undefined
26/12/2023 15:31:45:492  INFO - Node Entry | session id:sess5029326 | QatarIVR:Enrollment-Transfer | Framework | Enrollment-Transfer |  |  | undefined
26/12/2023 15:31:45:552  INFO - Node Entry | session id:sess5029326 | QatarIVR:preEnroll-transfer | Framework | preEnroll-transfer |  |  | undefined
26/12/2023 15:31:45:615  INFO - Node Entry | session id:sess5029326 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
26/12/2023 15:31:45:679  INFO - Node Entry | session id:sess5029326 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
26/12/2023 15:31:45:741  INFO - Node Entry | session id:sess5029326 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
26/12/2023 15:31:45:851  INFO - Node Entry | session id:sess5029326 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
