13/03/2024 09:10:21:307  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 09:10:21:700  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 09:10:32:852  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:10:32:907  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:DynamicData | Framework | DynamicData |  |  | undefined
13/03/2024 09:10:32:965  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
13/03/2024 09:10:33:044  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:10:33:097  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:SFConnectBack | Framework | SFConnectBack |  |  | undefined
13/03/2024 09:10:33:149  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:connectback-Begin | Framework | connectback-Begin |  |  | undefined
13/03/2024 09:10:33:202  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
13/03/2024 09:10:33:257  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
13/03/2024 09:10:33:319  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:connectback-preparetransfer | Framework | connectback-preparetransfer |  |  | undefined
13/03/2024 09:10:33:373  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:connectback-Tansfer | Framework | connectback-Tansfer |  |  | undefined
13/03/2024 09:10:33:427  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
13/03/2024 09:10:33:483  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
13/03/2024 09:10:33:535  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Transfer-check_connectback | Framework | Transfer-check_connectback |  |  | undefined
13/03/2024 09:10:33:588  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
13/03/2024 09:10:33:640  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
13/03/2024 09:10:33:694  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
13/03/2024 09:10:33:748  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
13/03/2024 09:10:33:801  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
13/03/2024 09:10:33:871  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
13/03/2024 09:10:33:923  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
13/03/2024 09:10:33:988  INFO - Node Entry | session id:sess1489366 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
13/03/2024 09:10:33:989  INFO - Application Exit | session id:sess1489366 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
13/03/2024 09:11:21:079  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 09:11:21:187  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 09:11:31:565  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:11:31:617  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:DynamicData | Framework | DynamicData |  |  | undefined
13/03/2024 09:11:31:672  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
13/03/2024 09:11:31:739  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:11:31:792  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:SFConnectBack | Framework | SFConnectBack |  |  | undefined
13/03/2024 09:11:31:845  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:connectback-Begin | Framework | connectback-Begin |  |  | undefined
13/03/2024 09:11:31:898  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
13/03/2024 09:11:31:954  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:connectback-settingDisconnect | Framework | connectback-settingDisconnect |  |  | undefined
13/03/2024 09:11:32:006  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:connectback-preparetransfer | Framework | connectback-preparetransfer |  |  | undefined
13/03/2024 09:11:32:057  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:connectback-Tansfer | Framework | connectback-Tansfer |  |  | undefined
13/03/2024 09:11:32:109  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
13/03/2024 09:11:32:162  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
13/03/2024 09:11:32:215  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Transfer-check_connectback | Framework | Transfer-check_connectback |  |  | undefined
13/03/2024 09:11:32:273  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
13/03/2024 09:11:32:327  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
13/03/2024 09:11:32:380  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
13/03/2024 09:11:32:434  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
13/03/2024 09:11:32:487  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
13/03/2024 09:11:32:544  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
13/03/2024 09:11:32:597  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
13/03/2024 09:11:32:665  INFO - Node Entry | session id:sess6579184 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
13/03/2024 09:11:32:668  INFO - Application Exit | session id:sess6579184 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
13/03/2024 09:13:04:661  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 09:13:04:760  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 09:13:15:120  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:13:15:175  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:DynamicData | Framework | DynamicData |  |  | undefined
13/03/2024 09:13:15:228  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
13/03/2024 09:13:15:293  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 09:13:15:345  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:SFConnectBack | Framework | SFConnectBack |  |  | undefined
13/03/2024 09:13:15:398  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:connectback-Begin | Framework | connectback-Begin |  |  | undefined
13/03/2024 09:13:15:450  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
13/03/2024 09:13:15:504  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:connectback-settingDisconnect | Framework | connectback-settingDisconnect |  |  | undefined
13/03/2024 09:13:15:556  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:connectback-preparetransfer | Framework | connectback-preparetransfer |  |  | undefined
13/03/2024 09:13:15:609  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:connectback-Tansfer | Framework | connectback-Tansfer |  |  | undefined
13/03/2024 09:13:15:663  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
13/03/2024 09:13:15:716  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
13/03/2024 09:13:15:769  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Transfer-check_connectback | Framework | Transfer-check_connectback |  |  | undefined
13/03/2024 09:13:15:827  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
13/03/2024 09:13:15:879  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
13/03/2024 09:13:15:933  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
13/03/2024 09:13:15:986  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
13/03/2024 09:13:16:037  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
13/03/2024 09:13:16:094  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
13/03/2024 09:13:16:147  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
13/03/2024 09:13:16:213  INFO - Node Entry | session id:sess3819674 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
13/03/2024 09:13:16:217  INFO - Application Exit | session id:sess3819674 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
13/03/2024 14:47:50:566  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 14:47:50:777  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 14:47:53:203  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 14:47:53:258  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:DynamicData | Framework | DynamicData |  |  | undefined
13/03/2024 14:47:53:318  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
13/03/2024 14:47:54:433  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 14:47:54:486  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:SFConnectBack | Framework | SFConnectBack |  |  | undefined
13/03/2024 14:47:54:538  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-Begin | Framework | connectback-Begin |  |  | undefined
13/03/2024 14:47:54:591  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
13/03/2024 14:47:54:652  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-SetFetchTimeout | Framework | connectback-SetFetchTimeout |  |  | undefined
13/03/2024 14:47:54:727  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-settingDisconnect | Framework | connectback-settingDisconnect |  |  | undefined
13/03/2024 14:47:54:778  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-preparetransfer | Framework | connectback-preparetransfer |  |  | undefined
13/03/2024 14:47:54:838  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:connectback-Tansfer | Framework | connectback-Tansfer |  |  | undefined
13/03/2024 14:47:54:894  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
13/03/2024 14:47:54:947  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
13/03/2024 14:47:55:001  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Transfer-check_connectback | Framework | Transfer-check_connectback |  |  | undefined
13/03/2024 14:47:55:067  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
13/03/2024 14:47:55:119  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
13/03/2024 14:47:55:174  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
13/03/2024 14:47:55:226  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
13/03/2024 14:47:55:280  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
13/03/2024 14:47:55:456  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
13/03/2024 14:47:55:507  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
13/03/2024 14:47:57:610  INFO - Node Entry | session id:sess5781453 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
13/03/2024 14:47:57:615  INFO - Application Exit | session id:sess5781453 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
13/03/2024 14:53:53:827  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 14:53:53:917  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 14:53:54:227  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 14:53:54:279  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:DynamicData | Framework | DynamicData |  |  | undefined
13/03/2024 14:53:54:332  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
13/03/2024 14:53:54:402  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
13/03/2024 14:53:54:454  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:SFConnectBack | Framework | SFConnectBack |  |  | undefined
13/03/2024 14:53:54:505  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-Begin | Framework | connectback-Begin |  |  | undefined
13/03/2024 14:53:54:557  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
13/03/2024 14:53:54:610  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-SetFetchTimeout | Framework | connectback-SetFetchTimeout |  |  | undefined
13/03/2024 14:53:54:670  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-settingDisconnect | Framework | connectback-settingDisconnect |  |  | undefined
13/03/2024 14:53:54:721  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-preparetransfer | Framework | connectback-preparetransfer |  |  | undefined
13/03/2024 14:53:54:772  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:connectback-Tansfer | Framework | connectback-Tansfer |  |  | undefined
13/03/2024 14:53:54:823  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
13/03/2024 14:53:54:876  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
13/03/2024 14:53:54:929  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Transfer-check_connectback | Framework | Transfer-check_connectback |  |  | undefined
13/03/2024 14:53:54:982  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
13/03/2024 14:53:55:033  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
13/03/2024 14:53:55:089  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
13/03/2024 14:53:55:142  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
13/03/2024 14:53:55:194  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
13/03/2024 14:53:55:306  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
13/03/2024 14:53:55:357  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
13/03/2024 14:53:55:416  INFO - Node Entry | session id:sess8890321 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
13/03/2024 14:53:55:416  INFO - Application Exit | session id:sess8890321 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
13/03/2024 14:55:16:645  INFO - Node Entry | session id:sess4699701 | QatarIVR_UAT_New:Start | Framework | Start |  |  | 
13/03/2024 14:55:16:766  INFO - Node Entry | session id:sess4699701 | QatarIVR_UAT_New:LoadInitValues | Framework | LoadInitValues |  |  | undefined
13/03/2024 14:55:17:030  INFO - Node Entry | session id:sess4699701 | QatarIVR_UAT_New:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
